Vehicle type,Fuel type,Vehicle age,State
PRIVATE,GASOLINA,4,APPROVED
STATION,GNV,6,DISAPPROVED
STATION,GNV,2,DISAPPROVED
INDEPENDENT,GNV,6,DISAPPROVED
INDEPENDENT,BI-GNV,17,DISAPPROVED
INDEPENDENT,BI-GNV,10,DISAPPROVED
INDEPENDENT,GASOLINA,10,DISAPPROVED
PRIVATE,BI-GNV,3,APPROVED
PRIVATE,GASOLINA,3,DISAPPROVED
PRIVATE,DIESEL,9,DISAPPROVED
INDEPENDENT,BI-GNV,7,DISAPPROVED
STATION,GNV,2,DISAPPROVED
STATION,GASOLINA,2,DISAPPROVED
STATION,GNV,2,DISAPPROVED
PRIVATE,GASOLINA,1,APPROVED
PRIVATE,BI-GLP,11,DISAPPROVED
STATION,GNV,1,APPROVED
INDEPENDENT,BI-GNV,8,APPROVED
STATION,BI-GNV,5,APPROVED
INDEPENDENT,GNV,1,APPROVED
STATION,BI-GNV,4,APPROVED
PRIVATE,GASOLINA,15,APPROVED
PRIVATE,GASOLINA,9,DISAPPROVED
STATION,BI-GNV,6,DISAPPROVED
INDEPENDENT,BI-GNV,19,DISAPPROVED
PRIVATE,BI-GNV,1,DISAPPROVED
STATION,BI-GNV,1,APPROVED
INDEPENDENT,BI-GNV,4,APPROVED
INDEPENDENT,BI-GNV,4,DISAPPROVED
STATION,BI-GNV,11,APPROVED
INDEPENDENT,BI-GNV,11,DISAPPROVED
INDEPENDENT,BI-GNV,10,DISAPPROVED
INDEPENDENT,GASOLINA,6,APPROVED
INDEPENDENT,BI-GNV,14,APPROVED
INDEPENDENT,BI-GNV,6,DISAPPROVED
REMISSION,BI-GNV,5,DISAPPROVED
PRIVATE,GASOLINA,5,DISAPPROVED
INDEPENDENT,BI-GNV,25,APPROVED
PRIVATE,GASOLINA,0,APPROVED
INDEPENDENT,BI-GNV,18,DISAPPROVED
REMISSION,BI-GLP,2,APPROVED
STATION,BI-GNV,7,APPROVED
STATION,GASOLINA,1,APPROVED
INDEPENDENT,BI-GNV,6,DISAPPROVED
INDEPENDENT,BI-GNV,11,DISAPPROVED
INDEPENDENT,BI-GNV,8,APPROVED
INDEPENDENT,BI-GNV,5,APPROVED
INDEPENDENT,BI-GNV,5,DISAPPROVED
INDEPENDENT,BI-GNV,13,DISAPPROVED
REMISSION,BI-GNV,3,DISAPPROVED
PRIVATE,GASOLINA,1,APPROVED
INDEPENDENT,BI-GNV,4,DISAPPROVED
INDEPENDENT,GNV,1,APPROVED
INDEPENDENT,BI-GNV,23,APPROVED
PRIVATE,GASOLINA,0,APPROVED
INDEPENDENT,GASOLINA,22,APPROVED
INDEPENDENT,BI-GNV,12,DISAPPROVED
PRIVATE,BI-GLP,29,APPROVED
INDEPENDENT,BI-GNV,7,DISAPPROVED
INDEPENDENT,BI-GNV,13,DISAPPROVED
STATION,BI-GNV,0,APPROVED
INDEPENDENT,BI-GNV,8,DISAPPROVED
STATION,GASOLINA,0,DISAPPROVED
INDEPENDENT,BI-GNV,7,APPROVED
INDEPENDENT,BI-GNV,15,APPROVED
STATION,BI-GNV,11,DISAPPROVED
INDEPENDENT,BI-GNV,22,DISAPPROVED
INDEPENDENT,BI-GNV,17,DISAPPROVED
PRIVATE,BI-GLP,10,DISAPPROVED
INDEPENDENT,BI-GLP,4,DISAPPROVED
INDEPENDENT,BI-GNV,14,APPROVED
INDEPENDENT,BI-GNV,13,DISAPPROVED
INDEPENDENT,BI-GNV,6,DISAPPROVED
INDEPENDENT,BI-GNV,2,DISAPPROVED
INDEPENDENT,BI-GNV,6,DISAPPROVED
INDEPENDENT,BI-GLP,20,DISAPPROVED
INDEPENDENT,BI-GNV,4,APPROVED
INDEPENDENT,BI-GNV,14,APPROVED
PRIVATE,GASOLINA,1,APPROVED
INDEPENDENT,BI-GNV,9,DISAPPROVED
INDEPENDENT,BI-GNV,13,DISAPPROVED
INDEPENDENT,BI-GNV,9,DISAPPROVED
INDEPENDENT,BI-GNV,4,APPROVED
INDEPENDENT,BI-GNV,4,DISAPPROVED
INDEPENDENT,BI-GNV,2,DISAPPROVED
INDEPENDENT,BI-GNV,6,APPROVED
INDEPENDENT,BI-GNV,5,DISAPPROVED
INDEPENDENT,BI-GNV,7,DISAPPROVED
INDEPENDENT,BI-GLP,10,DISAPPROVED
INDEPENDENT,BI-GNV,8,APPROVED
INDEPENDENT,BI-GNV,10,DISAPPROVED
INDEPENDENT,BI-GNV,6,APPROVED
INDEPENDENT,BI-GNV,10,DISAPPROVED
INDEPENDENT,BI-GNV,10,DISAPPROVED
INDEPENDENT,BI-GNV,8,DISAPPROVED
INDEPENDENT,BI-GNV,8,DISAPPROVED
REMISSION,BI-GNV,4,DISAPPROVED
INDEPENDENT,BI-GNV,4,DISAPPROVED
REMISSION,BI-GNV,4,APPROVED
PRIVATE,BI-GLP,20,DISAPPROVED
INDEPENDENT,BI-GLP,2,APPROVED
STATION,BI-GLP,4,DISAPPROVED
STATION,BI-GNV,4,APPROVED
INDEPENDENT,BI-GNV,8,DISAPPROVED
PRIVATE,GASOLINA,5,APPROVED
PRIVATE,GASOLINA,0,APPROVED
STATION,BI-GLP,15,DISAPPROVED
PRIVATE,BI-GLP,30,APPROVED
STATION,BI-GNV,2,APPROVED
STATION,BI-GNV,10,DISAPPROVED
STATION,GASOLINA,14,DISAPPROVED
PRIVATE,GASOLINA,5,APPROVED
REMISSION,BI-GNV,2,APPROVED
STATION,BI-GLP,4,APPROVED
INDEPENDENT,BI-GNV,1,APPROVED
INDEPENDENT,BI-GNV,8,APPROVED
INDEPENDENT,BI-GNV,5,APPROVED
INDEPENDENT,BI-GNV,14,DISAPPROVED
PRIVATE,BI-GNV,2,DISAPPROVED
INDEPENDENT,BI-GNV,13,DISAPPROVED
INDEPENDENT,BI-GNV,4,APPROVED
INDEPENDENT,BI-GNV,4,DISAPPROVED
INDEPENDENT,BI-GNV,1,APPROVED
STATION,BI-GNV,2,DISAPPROVED
INDEPENDENT,BI-GNV,13,DISAPPROVED
INDEPENDENT,BI-GNV,13,APPROVED
STATION,GASOLINA,9,DISAPPROVED
INDEPENDENT,GASOLINA,7,APPROVED
INDEPENDENT,BI-GNV,21,DISAPPROVED
PRIVATE,BI-GLP,1,DISAPPROVED
PRIVATE,GASOLINA,1,APPROVED
INDEPENDENT,BI-GNV,15,APPROVED
STATION,BI-GNV,10,APPROVED
INDEPENDENT,BI-GNV,10,DISAPPROVED
PRIVATE,BI-GNV,10,DISAPPROVED
PRIVATE,GNV,2,APPROVED
INDEPENDENT,BI-GNV,13,DISAPPROVED
PRIVATE,BI-GNV,6,APPROVED
STATION,BI-GNV,3,DISAPPROVED
STATION,BI-GNV,0,DISAPPROVED
REMISSION,BI-GNV,1,APPROVED
PRIVATE,GASOLINA,35,DISAPPROVED
STATION,BI-GNV,2,APPROVED
STATION,BI-GNV,0,APPROVED
PRIVATE,GASOLINA,1,DISAPPROVED
PRIVATE,BI-GNV,2,APPROVED
INDEPENDENT,BI-GNV,2,DISAPPROVED
INDEPENDENT,BI-GNV,11,DISAPPROVED
INDEPENDENT,BI-GNV,1,APPROVED
INDEPENDENT,GNV,15,DISAPPROVED
INDEPENDENT,BI-GNV,5,APPROVED
PRIVATE,GASOLINA,13,DISAPPROVED
PRIVATE,GASOLINA,2,APPROVED
PRIVATE,GASOLINA,9,DISAPPROVED
PRIVATE,BI-GNV,8,APPROVED
PRIVATE,GASOLINA,24,DISAPPROVED
INDEPENDENT,BI-GNV,20,APPROVED
INDEPENDENT,BI-GNV,10,DISAPPROVED
STATION,BI-GNV,16,DISAPPROVED
INDEPENDENT,BI-GNV,11,DISAPPROVED
INDEPENDENT,BI-GNV,6,DISAPPROVED
PRIVATE,BI-GNV,9,DISAPPROVED
INDEPENDENT,BI-GNV,2,APPROVED
INDEPENDENT,BI-GNV,8,APPROVED
PRIVATE,GASOLINA,4,APPROVED
INDEPENDENT,BI-GNV,13,DISAPPROVED
INDEPENDENT,GASOLINA,28,DISAPPROVED
STATION,BI-GNV,2,DISAPPROVED
PRIVATE,GASOLINA,9,DISAPPROVED
PRIVATE,GASOLINA,3,APPROVED
PRIVATE,GASOLINA,5,APPROVED
STATION,BI-GNV,4,DISAPPROVED
INDEPENDENT,BI-GNV,11,DISAPPROVED
PRIVATE,BI-GLP,19,DISAPPROVED
INDEPENDENT,BI-GNV,7,DISAPPROVED
INDEPENDENT,BI-GNV,2,APPROVED
INDEPENDENT,BI-GNV,6,DISAPPROVED
PRIVATE,BI-GNV,24,DISAPPROVED
PRIVATE,BI-GLP,8,APPROVED
INDEPENDENT,BI-GNV,6,DISAPPROVED
PRIVATE,GASOLINA,13,APPROVED
INDEPENDENT,BI-GNV,3,DISAPPROVED
INDEPENDENT,BI-GNV,8,DISAPPROVED
PRIVATE,GASOLINA,3,APPROVED
STATION,BI-GNV,7,DISAPPROVED
INDEPENDENT,BI-GNV,22,APPROVED
PRIVATE,BI-GNV,11,DISAPPROVED
PRIVATE,BI-GNV,3,DISAPPROVED
PRIVATE,BI-GNV,1,APPROVED
PRIVATE,BI-GLP,4,APPROVED
PRIVATE,BI-GNV,6,APPROVED
STATION,BI-GNV,7,APPROVED
INDEPENDENT,BI-GNV,4,APPROVED
INDEPENDENT,BI-GNV,3,APPROVED
PRIVATE,GASOLINA,23,APPROVED
INDEPENDENT,BI-GNV,7,APPROVED
PRIVATE,GASOLINA,6,APPROVED
INDEPENDENT,BI-GNV,9,DISAPPROVED
INDEPENDENT,BI-GNV,3,APPROVED
INDEPENDENT,BI-GNV,3,DISAPPROVED
INDEPENDENT,GASOLINA,5,DISAPPROVED
INDEPENDENT,BI-GNV,11,APPROVED
REMISSION,GASOLINA,1,APPROVED
PRIVATE,BI-GLP,5,APPROVED
STATION,BI-GNV,7,APPROVED
STATION,BI-GNV,9,DISAPPROVED
STATION,BI-GNV,2,DISAPPROVED
INDEPENDENT,BI-GNV,2,DISAPPROVED
INDEPENDENT,BI-GNV,25,APPROVED
INDEPENDENT,BI-GNV,2,APPROVED
STATION,BI-GNV,1,APPROVED
STATION,GNV,11,APPROVED
STATION,BI-GNV,2,DISAPPROVED
STATION,BI-GNV,9,DISAPPROVED
STATION,BI-GNV,3,APPROVED
STATION,BI-GNV,15,APPROVED
INDEPENDENT,BI-GNV,17,APPROVED
INDEPENDENT,BI-GNV,21,APPROVED
INDEPENDENT,BI-GNV,15,DISAPPROVED
INDEPENDENT,BI-GNV,6,APPROVED
PRIVATE,GASOLINA,15,APPROVED
STATION,BI-GNV,1,APPROVED
STATION,BI-GNV,8,DISAPPROVED
INDEPENDENT,GNV,16,DISAPPROVED
STATION,BI-GNV,2,DISAPPROVED
INDEPENDENT,BI-GLP,15,DISAPPROVED
INDEPENDENT,BI-GLP,19,APPROVED
INDEPENDENT,BI-GNV,12,APPROVED
INDEPENDENT,GASOLINA,1,DISAPPROVED
PRIVATE,BI-GLP,2,APPROVED
PRIVATE,BI-GLP,3,APPROVED
PRIVATE,GASOLINA,7,DISAPPROVED
STATION,BI-GLP,14,DISAPPROVED
INDEPENDENT,BI-GLP,15,APPROVED
STATION,BI-GLP,20,DISAPPROVED
STATION,BI-GNV,5,DISAPPROVED
STATION,BI-GNV,7,APPROVED
STATION,BI-GNV,5,DISAPPROVED
PRIVATE,GASOLINA,23,DISAPPROVED
PRIVATE,GASOLINA,1,DISAPPROVED
STATION,BI-GNV,7,DISAPPROVED
STATION,BI-GNV,5,DISAPPROVED
STATION,GASOLINA,4,DISAPPROVED
PRIVATE,BI-GLP,7,APPROVED
INDEPENDENT,BI-GNV,9,DISAPPROVED
STATION,BI-GLP,6,DISAPPROVED
STATION,GNV,2,APPROVED
INDEPENDENT,GNV,1,APPROVED
INDEPENDENT,BI-GNV,5,APPROVED
PRIVATE,BI-GNV,7,DISAPPROVED
INDEPENDENT,BI-GNV,3,APPROVED
INDEPENDENT,BI-GNV,13,DISAPPROVED
PRIVATE,BI-GLP,3,APPROVED
PRIVATE,GASOLINA,5,DISAPPROVED
PRIVATE,GASOLINA,5,APPROVED
INDEPENDENT,BI-GNV,6,DISAPPROVED
INDEPENDENT,BI-GNV,2,APPROVED
INDEPENDENT,BI-GNV,16,DISAPPROVED
INDEPENDENT,BI-GNV,9,DISAPPROVED
PRIVATE,GASOLINA,1,APPROVED
PRIVATE,GASOLINA,19,DISAPPROVED
STATION,BI-GNV,2,DISAPPROVED
STATION,GASOLINA,2,APPROVED
PRIVATE,BI-GLP,3,APPROVED
PRIVATE,BI-GNV,2,APPROVED
PRIVATE,GASOLINA,7,APPROVED
STATION,BI-GLP,1,APPROVED
INDEPENDENT,BI-GNV,1,APPROVED
INDEPENDENT,BI-GNV,19,APPROVED
INDEPENDENT,BI-GNV,8,DISAPPROVED
INDEPENDENT,BI-GNV,8,APPROVED
PRIVATE,BI-GNV,7,APPROVED
PRIVATE,BI-GNV,2,APPROVED
INDEPENDENT,BI-GNV,20,DISAPPROVED
INDEPENDENT,BI-GLP,22,DISAPPROVED
INDEPENDENT,BI-GNV,22,APPROVED
INDEPENDENT,BI-GNV,6,DISAPPROVED
STATION,BI-GNV,10,DISAPPROVED
INDEPENDENT,BI-GNV,8,DISAPPROVED
PRIVATE,GASOLINA,4,APPROVED
INDEPENDENT,BI-GNV,5,DISAPPROVED
PRIVATE,BI-GNV,7,DISAPPROVED
INDEPENDENT,BI-GNV,20,DISAPPROVED
INDEPENDENT,BI-GNV,6,DISAPPROVED
PRIVATE,BI-GLP,3,DISAPPROVED
INDEPENDENT,BI-GNV,11,DISAPPROVED
INDEPENDENT,BI-GNV,3,APPROVED
INDEPENDENT,BI-GNV,12,DISAPPROVED
PRIVATE,BI-GNV,9,DISAPPROVED
INDEPENDENT,BI-GLP,21,DISAPPROVED
PRIVATE,BI-GNV,7,DISAPPROVED
INDEPENDENT,GASOLINA,1,APPROVED
INDEPENDENT,GASOLINA,20,DISAPPROVED
INDEPENDENT,BI-GNV,18,DISAPPROVED
STATION,BI-GNV,9,DISAPPROVED
INDEPENDENT,GASOLINA,5,DISAPPROVED
PRIVATE,BI-GNV,8,DISAPPROVED
STATION,BI-GNV,14,DISAPPROVED
INDEPENDENT,BI-GNV,13,DISAPPROVED
INDEPENDENT,BI-GNV,14,DISAPPROVED
PRIVATE,BI-GNV,7,DISAPPROVED
PRIVATE,BI-GNV,8,DISAPPROVED
INDEPENDENT,BI-GNV,6,APPROVED
STATION,BI-GNV,16,DISAPPROVED
PRIVATE,BI-GNV,3,APPROVED
PRIVATE,BI-GNV,21,APPROVED
STATION,BI-GNV,5,APPROVED
PRIVATE,GLP,20,DISAPPROVED
INDEPENDENT,GLP,22,DISAPPROVED
INDEPENDENT,BI-GNV,5,DISAPPROVED
PRIVATE,GNV,0,APPROVED
INDEPENDENT,BI-GNV,4,DISAPPROVED
PRIVATE,GASOLINA,8,APPROVED
INDEPENDENT,BI-GNV,12,DISAPPROVED
PRIVATE,GASOLINA,20,APPROVED
STATION,BI-GNV,2,APPROVED
PRIVATE,GASOLINA,5,DISAPPROVED
PRIVATE,BI-GNV,6,APPROVED
PRIVATE,GASOLINA,4,DISAPPROVED
INDEPENDENT,GNV,2,APPROVED
STATION,BI-GNV,4,APPROVED
PRIVATE,GASOLINA,26,DISAPPROVED
INDEPENDENT,BI-GNV,4,APPROVED
INDEPENDENT,GLP,13,DISAPPROVED
PRIVATE,GASOLINA,19,APPROVED
INDEPENDENT,GLP,11,DISAPPROVED
PRIVATE,GASOLINA,5,DISAPPROVED
STATION,BI-GNV,7,APPROVED
INDEPENDENT,BI-GNV,4,APPROVED
INDEPENDENT,BI-GNV,15,DISAPPROVED
STATION,BI-GNV,7,DISAPPROVED
INDEPENDENT,BI-GNV,7,APPROVED
INDEPENDENT,BI-GNV,1,DISAPPROVED
INDEPENDENT,GLP,2,APPROVED
STATION,BI-GNV,7,DISAPPROVED
INDEPENDENT,BI-GNV,1,DISAPPROVED
INDEPENDENT,BI-GNV,3,DISAPPROVED
INDEPENDENT,BI-GNV,9,APPROVED
STATION,BI-GNV,5,DISAPPROVED
INDEPENDENT,BI-GNV,6,APPROVED
INDEPENDENT,BI-GNV,8,DISAPPROVED
STATION,BI-GNV,3,APPROVED
STATION,BI-GNV,7,APPROVED
INDEPENDENT,BI-GNV,9,DISAPPROVED
PRIVATE,GASOLINA,7,APPROVED
INDEPENDENT,BI-GNV,11,DISAPPROVED
INDEPENDENT,BI-GNV,16,DISAPPROVED
INDEPENDENT,BI-GNV,2,APPROVED
REMISSION,BI-GNV,6,APPROVED
INDEPENDENT,GLP,12,APPROVED
PRIVATE,GASOLINA,4,DISAPPROVED
INDEPENDENT,BI-GNV,15,APPROVED
REMISSION,GLP,4,APPROVED
INDEPENDENT,BI-GNV,4,DISAPPROVED
REMISSION,BI-GNV,2,APPROVED
PRIVATE,GASOLINA,1,APPROVED
STATION,BI-GNV,2,DISAPPROVED
STATION,BI-GNV,6,DISAPPROVED
REMISSION,BI-GNV,2,DISAPPROVED
STATION,BI-GNV,11,DISAPPROVED
PRIVATE,GASOLINA,1,DISAPPROVED
INDEPENDENT,BI-GNV,12,DISAPPROVED
STATION,BI-GNV,4,DISAPPROVED
REMISSION,GASOLINA,2,APPROVED
PRIVATE,BI-GNV,3,APPROVED
STATION,GNV,15,APPROVED
INDEPENDENT,BI-GNV,7,DISAPPROVED
INDEPENDENT,GNV,7,APPROVED
PRIVATE,GASOLINA,10,APPROVED
REMISSION,BI-GNV,4,APPROVED
PRIVATE,GASOLINA,4,APPROVED
INDEPENDENT,BI-GNV,22,DISAPPROVED
PRIVATE,GASOLINA,1,APPROVED
INDEPENDENT,BI-GNV,14,DISAPPROVED
PRIVATE,BI-GNV,10,APPROVED
REMISSION,BI-GNV,2,APPROVED
INDEPENDENT,BI-GNV,16,APPROVED
INDEPENDENT,BI-GNV,17,DISAPPROVED
REMISSION,BI-GNV,3,APPROVED
INDEPENDENT,BI-GNV,6,APPROVED
STATION,GASOLINA,2,DISAPPROVED
STATION,BI-GNV,9,DISAPPROVED
INDEPENDENT,BI-GNV,19,DISAPPROVED
INDEPENDENT,BI-GNV,5,APPROVED
INDEPENDENT,BI-GNV,8,DISAPPROVED
INDEPENDENT,BI-GNV,19,DISAPPROVED
INDEPENDENT,BI-GNV,14,APPROVED
STATION,BI-GNV,1,APPROVED
STATION,BI-GNV,11,DISAPPROVED
STATION,BI-GNV,7,APPROVED
STATION,BI-GNV,14,DISAPPROVED
INDEPENDENT,BI-GNV,5,DISAPPROVED
INDEPENDENT,BI-GNV,5,APPROVED
STATION,BI-GNV,5,DISAPPROVED
INDEPENDENT,BI-GNV,9,DISAPPROVED
INDEPENDENT,BI-GNV,9,APPROVED
INDEPENDENT,BI-GNV,6,DISAPPROVED
INDEPENDENT,BI-GNV,5,APPROVED
PRIVATE,GASOLINA,2,APPROVED
STATION,BI-GNV,6,APPROVED
INDEPENDENT,BI-GNV,8,DISAPPROVED
INDEPENDENT,BI-GNV,7,DISAPPROVED
INDEPENDENT,BI-GNV,19,DISAPPROVED
STATION,BI-GNV,15,APPROVED
INDEPENDENT,BI-GNV,6,DISAPPROVED
INDEPENDENT,BI-GNV,12,DISAPPROVED
INDEPENDENT,GASOLINA,8,DISAPPROVED
INDEPENDENT,BI-GNV,5,APPROVED
INDEPENDENT,BI-GNV,3,APPROVED
INDEPENDENT,BI-GNV,6,DISAPPROVED
INDEPENDENT,BI-GNV,5,APPROVED
PRIVATE,GASOLINA,5,APPROVED
STATION,BI-GNV,2,APPROVED
INDEPENDENT,GASOLINA,12,APPROVED
STATION,BI-GNV,2,APPROVED
INDEPENDENT,BI-GNV,17,DISAPPROVED
REMISSION,BI-GNV,3,APPROVED
PRIVATE,GASOLINA,45,DISAPPROVED
INDEPENDENT,BI-GNV,6,DISAPPROVED
REMISSION,BI-GNV,2,APPROVED
INDEPENDENT,BI-GNV,14,DISAPPROVED
INDEPENDENT,BI-GNV,12,DISAPPROVED
INDEPENDENT,BI-GNV,2,APPROVED
STATION,BI-GNV,7,APPROVED
PRIVATE,BI-GNV,13,DISAPPROVED
PRIVATE,GASOLINA,3,DISAPPROVED
PRIVATE,GLP,1,APPROVED
INDEPENDENT,BI-GNV,8,APPROVED
PRIVATE,BI-GNV,9,DISAPPROVED
INDEPENDENT,GNV,16,APPROVED
INDEPENDENT,BI-GNV,18,DISAPPROVED
PRIVATE,GASOLINA,3,APPROVED
PRIVATE,GASOLINA,1,APPROVED
INDEPENDENT,BI-GNV,2,DISAPPROVED
PRIVATE,GASOLINA,2,DISAPPROVED
PRIVATE,BI-GNV,0,APPROVED
INDEPENDENT,GNV,0,APPROVED
INDEPENDENT,GLP,7,APPROVED
INDEPENDENT,GNV,1,DISAPPROVED
INDEPENDENT,GNV,17,DISAPPROVED
PRIVATE,GASOLINA,1,DISAPPROVED
PRIVATE,BI-GNV,6,APPROVED
INDEPENDENT,GNV,5,DISAPPROVED
INDEPENDENT,GASOLINA,5,DISAPPROVED
PRIVATE,GASOLINA,4,APPROVED
PRIVATE,GNV,19,DISAPPROVED
PRIVATE,BI-GNV,23,DISAPPROVED
INDEPENDENT,GNV,4,DISAPPROVED
INDEPENDENT,BI-GNV,7,DISAPPROVED
INDEPENDENT,BI-GNV,7,DISAPPROVED
INDEPENDENT,GNV,12,DISAPPROVED
INDEPENDENT,GNV,19,DISAPPROVED
PRIVATE,GLP,4,APPROVED
INDEPENDENT,BI-GNV,20,DISAPPROVED
PRIVATE,GNV,9,APPROVED
PRIVATE,GNV,5,DISAPPROVED
INDEPENDENT,GASOLINA,16,APPROVED
PRIVATE,GASOLINA,1,APPROVED
PRIVATE,GASOLINA,19,APPROVED
PRIVATE,GASOLINA,8,DISAPPROVED
PRIVATE,GASOLINA,7,DISAPPROVED
PRIVATE,GASOLINA,3,APPROVED
PRIVATE,GNV,6,APPROVED
PRIVATE,GNV,13,DISAPPROVED
PRIVATE,GASOLINA,12,DISAPPROVED
INDEPENDENT,GLP,8,DISAPPROVED
PRIVATE,GLP,1,DISAPPROVED
PRIVATE,BI-GNV,6,APPROVED
INDEPENDENT,GNV,20,DISAPPROVED
INDEPENDENT,GASOLINA,10,DISAPPROVED
INDEPENDENT,GNV,10,DISAPPROVED
PRIVATE,GASOLINA,1,APPROVED
INDEPENDENT,GASOLINA,6,DISAPPROVED
INDEPENDENT,GASOLINA,20,DISAPPROVED
PRIVATE,GASOLINA,1,DISAPPROVED
INDEPENDENT,GASOLINA,16,DISAPPROVED
REMISSION,GNV,3,APPROVED
INDEPENDENT,GASOLINA,25,DISAPPROVED
INDEPENDENT,GNV,17,DISAPPROVED
